類別月份,學校場次,學校人次,社區鄰里場次,社區鄰里人次,工廠場次,工廠人次,公共場所場次,公共場所人次,政府機關場次,政府機關人次,醫院與老福機構場次,醫院與老福機構人次,墓地場次,墓地人次,住宅式宮廟場次,住宅式宮廟人次,多元族群含移工場次,多元族群含移工人次,其它場次,其它人次,合計場次,合計人次,消防動員宣導人次,義消動員宣導人次,婦宣動員宣導人次,其它動員宣導人次,合計動員宣導人次
01,48,5573,280,1814,16,95,146,23078,22,1712,19,479,0,0,26,225,0,0,120,2270,671,33500,958,345,439,39,1815
02,3,150,11,451,0,0,12,1460,4,280,3,105,0,0,26,17,0,0,35,262,82,2723,225,43,84,5,72
03,11,730,4,74,5,318,10,725,3,26,11,330,186,662,4,4,0,0,8,266,238,3135,367,26,9,49,455
04,2,180,6,221,0,0,10,1670,1,50,6,102,177,911,0,0,0,0,3,118,189,3252,327,102,28,44,492
05,7,222,8,104,4,50,5,639,7,99,8,52,6,90,2,2,0,0,22,167,63,1425,93,36,9,44,173
06,92,4177,13,551,18,261,20,993,20,655,44,718,2,60,14,38,0,0,35,570,210,8058,340,44,29,44,452
07,50,6259,32,891,29,369,37,2209,24,1017,30,451,2,60,24,34,20,65,62,548,325,11173,321,40,47,49,445
08,65,4244,114,1325,27,484,50,6674,18,1239,55,993,2,60,68,350,11,43,86,1351,491,13205,544,50,131,84,697
09,159,27251,8,510,35,1098,43,1820,12,347,31,360,0,0,12,12,6,24,71,2708,344,29827,515,40,37,5,586
10,23,2162,15,851,24,730,30,1846,9,657,19,306,0,0,3,25,4,12,56,371,178,6450,239,15,14,0,268
11,9,950,8,620,14,420,24,2494,9,183,11,460,0,0,0,0,4,27,40,282,181,7154,264,30,54,3,351
12,21,1432,10,573,27,292,34,1449,11,858,22,360,0,0,1,2,2,8,41,426,168,5370,217,19,46,0,310
